training_seed,task,std_key,sample_index,candidate_count,clean_margin,sample_max_drift,sample_mean_drift,cert_pass,top1_flip,clean_best,noisy_best
3072,TwoRoom,0.0,0,65,318.6593933105469,461.5545959472656,110.26810455322266,False,True,0,27
3072,TwoRoom,0.0,1,65,90.96959686279297,205.57742309570312,19.239994049072266,False,True,0,52
3072,TwoRoom,0.0,2,65,168.87164306640625,341.9163818359375,64.01292419433594,False,True,0,23
3072,TwoRoom,0.0,3,65,28.34250259399414,66.20068359375,15.672943115234375,False,False,11,11
3072,TwoRoom,0.0,4,65,24.442874908447266,561.7514038085938,122.97738647460938,False,True,0,34
3072,TwoRoom,0.0,5,65,0.20052623748779297,361.9873962402344,90.48116302490234,False,True,21,27
3072,TwoRoom,0.0,6,65,282.8144226074219,421.85504150390625,71.55122375488281,False,True,0,41
3072,TwoRoom,0.0,7,65,59.32916259765625,424.518798828125,114.25160217285156,False,True,0,2
3072,TwoRoom,0.0,8,65,16.642837524414062,336.7338562011719,77.99378204345703,False,True,0,47
3072,TwoRoom,0.0,9,65,261.7386474609375,266.5675354003906,45.90784454345703,False,True,0,46
3072,TwoRoom,0.0,10,65,184.011962890625,402.9958190917969,63.49532699584961,False,True,0,55
3072,TwoRoom,0.0,11,65,42.59671401977539,152.65377807617188,28.214014053344727,False,True,0,7
3072,TwoRoom,0.0,12,65,90.87521362304688,421.69842529296875,103.60079956054688,False,True,0,43
3072,TwoRoom,0.0,13,65,251.47007751464844,265.3822021484375,35.62152099609375,False,True,0,21
3072,TwoRoom,0.0,14,65,235.9459686279297,297.2374572753906,47.33330154418945,False,True,0,30
3072,TwoRoom,0.0,15,65,132.40980529785156,484.2000427246094,133.12550354003906,False,True,0,28
3072,TwoRoom,0.0,16,65,2.635756492614746,336.40484619140625,115.68368530273438,False,True,13,49
3072,TwoRoom,0.0,17,65,168.15249633789062,215.24984741210938,42.15885925292969,False,True,0,29
3072,TwoRoom,0.0,18,65,234.8916015625,321.30523681640625,91.13688659667969,False,True,0,57
3072,TwoRoom,0.0,19,65,327.9432678222656,450.1655578613281,90.63542175292969,False,True,0,22
3072,TwoRoom,0.0,20,65,33.468017578125,584.423828125,210.6262969970703,False,True,0,18
3072,TwoRoom,0.0,21,65,234.46849060058594,425.76995849609375,43.736576080322266,False,True,0,31
3072,TwoRoom,0.0,22,65,48.97990417480469,234.35433959960938,79.32836151123047,False,False,0,0
3072,TwoRoom,0.0,23,65,22.24117660522461,385.85601806640625,85.78451538085938,False,True,0,35
3072,TwoRoom,0.0,24,65,287.5714111328125,275.92333984375,34.69025802612305,False,True,0,29
3072,TwoRoom,0.0,25,65,251.06082153320312,383.8581848144531,46.84992599487305,False,True,0,31
3072,TwoRoom,0.0,26,65,95.92269897460938,251.88035583496094,48.93912887573242,False,True,0,33
3072,TwoRoom,0.0,27,65,299.82098388671875,147.9942626953125,44.963829040527344,True,False,0,0
3072,TwoRoom,0.0,28,65,371.41748046875,558.1834106445312,80.33688354492188,False,True,0,18
3072,TwoRoom,0.0,29,65,3.11906099319458,281.99560546875,75.13927459716797,False,True,0,33
3072,TwoRoom,0.0,30,65,240.79373168945312,432.71417236328125,78.85205841064453,False,True,0,3
3072,TwoRoom,0.0,31,65,125.75396728515625,304.96630859375,99.99761962890625,False,True,0,46
3072,TwoRoom,0.0,32,65,159.60922241210938,196.65667724609375,22.16938018798828,False,True,0,64
3072,TwoRoom,0.0,33,65,43.44967269897461,443.3155517578125,154.35533142089844,False,True,0,62
3072,TwoRoom,0.0,34,65,106.7228012084961,272.33404541015625,84.89697265625,False,True,0,30
3072,TwoRoom,0.0,35,65,49.10246658325195,456.4339294433594,38.626033782958984,False,True,0,1
3072,TwoRoom,0.0,36,65,228.87081909179688,286.2951965332031,19.975055694580078,False,True,0,39
3072,TwoRoom,0.0,37,65,88.11091613769531,349.7694091796875,91.67816162109375,False,True,0,38
3072,TwoRoom,0.0,38,65,71.7858657836914,265.0824890136719,47.449153900146484,False,True,21,64
3072,TwoRoom,0.0,39,65,5.020541191101074,466.9589538574219,132.76473999023438,False,True,0,4
3072,TwoRoom,0.0,40,65,34.25489044189453,127.034423828125,34.48329544067383,False,True,0,50
3072,TwoRoom,0.0,41,65,290.5570983886719,239.87518310546875,28.414140701293945,False,False,0,0
3072,TwoRoom,0.0,42,65,169.7007598876953,263.10858154296875,70.21305847167969,False,True,0,29
3072,TwoRoom,0.0,43,65,46.11344528198242,247.2248077392578,59.83809280395508,False,True,8,40
3072,TwoRoom,0.0,44,65,297.823974609375,145.6085205078125,27.840707778930664,True,False,0,0
3072,TwoRoom,0.0,45,65,34.65980529785156,111.35626220703125,20.588228225708008,False,False,0,0
3072,TwoRoom,0.0,46,65,311.8203125,154.87530517578125,49.47429656982422,True,False,0,0
3072,TwoRoom,0.0,47,65,290.3956298828125,409.7539978027344,55.41551971435547,False,True,0,24
3072,TwoRoom,0.0,48,65,297.4691162109375,405.6976623535156,98.34427642822266,False,True,0,55
3072,TwoRoom,0.0,49,65,11.23575210571289,110.87401580810547,24.304481506347656,False,True,0,22
3072,TwoRoom,0.0,50,65,62.67716598510742,507.64117431640625,99.40980529785156,False,True,0,59
3072,TwoRoom,0.0,51,65,222.86671447753906,254.25608825683594,61.324161529541016,False,True,0,46
3072,TwoRoom,0.0,52,65,18.459117889404297,492.3233947753906,172.33160400390625,False,True,0,24
3072,TwoRoom,0.0,53,65,44.988651275634766,341.87603759765625,90.48814392089844,False,True,0,38
3072,TwoRoom,0.0,54,65,310.4148254394531,225.85791015625,68.62321472167969,False,False,0,0
3072,TwoRoom,0.0,55,65,210.15773010253906,304.22564697265625,79.60408020019531,False,True,0,28
3072,TwoRoom,0.0,56,65,289.03106689453125,438.7099609375,47.341976165771484,False,True,0,8
3072,TwoRoom,0.0,57,65,208.0082244873047,511.51806640625,121.66120910644531,False,True,0,2
3072,TwoRoom,0.0,58,65,50.84895324707031,532.0184326171875,61.1438102722168,False,True,44,63
3072,TwoRoom,0.0,59,65,30.880157470703125,506.13714599609375,109.18254089355469,False,True,0,62
3072,TwoRoom,0.0,60,65,34.946319580078125,302.6612548828125,50.55691146850586,False,True,36,13
3072,TwoRoom,0.0,61,65,202.99368286132812,230.92147827148438,47.90115737915039,False,True,0,51
3072,TwoRoom,0.0,62,65,4.820528984069824,468.45745849609375,146.673095703125,False,True,0,53
3072,TwoRoom,0.0,63,65,279.9789733886719,201.32455444335938,32.76821517944336,False,False,0,0
3072,TwoRoom,0.0,64,65,316.8559875488281,205.57583618164062,32.834720611572266,False,False,0,0
3072,TwoRoom,0.0,65,65,18.681961059570312,375.08050537109375,120.09830474853516,False,True,4,25
3072,TwoRoom,0.0,66,65,205.55223083496094,151.86566162109375,24.08580207824707,False,False,0,0
3072,TwoRoom,0.0,67,65,249.34759521484375,439.9718017578125,99.88326263427734,False,True,0,57
3072,TwoRoom,0.0,68,65,189.26705932617188,167.7566375732422,42.532920837402344,False,False,0,0
3072,TwoRoom,0.0,69,65,0.42384767532348633,440.3492736816406,108.1453857421875,False,True,61,6
3072,TwoRoom,0.0,70,65,199.33424377441406,418.4762268066406,41.12050247192383,False,True,0,58
3072,TwoRoom,0.0,71,65,79.89936828613281,292.3185729980469,48.03125762939453,False,True,0,28
3072,TwoRoom,0.0,72,65,91.44419860839844,461.60693359375,124.81838989257812,False,True,0,8
3072,TwoRoom,0.0,73,65,21.651456832885742,573.2103881835938,139.447998046875,False,True,0,23
3072,TwoRoom,0.0,74,65,222.6271514892578,331.00811767578125,71.60691833496094,False,True,0,20
3072,TwoRoom,0.0,75,65,277.58984375,336.164794921875,54.494903564453125,False,True,0,18
3072,TwoRoom,0.0,76,65,49.442474365234375,356.39923095703125,101.76376342773438,False,False,0,0
3072,TwoRoom,0.0,77,65,256.89300537109375,330.15411376953125,36.64097213745117,False,True,0,46
3072,TwoRoom,0.0,78,65,17.547203063964844,363.1095886230469,73.4441146850586,False,True,0,22
3072,TwoRoom,0.0,79,65,280.69903564453125,244.50485229492188,41.24446487426758,False,False,0,0
3072,TwoRoom,0.0,80,65,126.33722686767578,166.8521728515625,8.95829963684082,False,True,0,46
3072,TwoRoom,0.0,81,65,27.24578094482422,391.5397033691406,148.58160400390625,False,True,0,33
3072,TwoRoom,0.0,82,65,105.21968078613281,257.72589111328125,58.05146026611328,False,True,0,51
3072,TwoRoom,0.0,83,65,120.7166748046875,400.7846374511719,104.95037078857422,False,True,0,42
3072,TwoRoom,0.0,84,65,41.79551696777344,349.5991516113281,95.0123291015625,False,True,0,15
3072,TwoRoom,0.0,85,65,25.836589813232422,190.14498901367188,53.55134582519531,False,True,0,4
3072,TwoRoom,0.0,86,65,0.5650792121887207,38.6917724609375,6.558359622955322,False,False,0,0
3072,TwoRoom,0.0,87,65,0.5689868927001953,542.5540161132812,207.81471252441406,False,True,11,54
3072,TwoRoom,0.0,88,65,13.023029327392578,287.9241638183594,47.75309753417969,False,False,0,0
3072,TwoRoom,0.0,89,65,26.05791473388672,247.46197509765625,62.45039749145508,False,True,42,37
3072,TwoRoom,0.0,90,65,157.1641387939453,69.3167724609375,14.460346221923828,True,False,0,0
3072,TwoRoom,0.0,91,65,157.72396850585938,408.71331787109375,101.67658996582031,False,True,0,21
3072,TwoRoom,0.0,92,65,318.53076171875,108.33844757080078,16.50480842590332,True,False,0,0
3072,TwoRoom,0.0,93,65,66.52549743652344,105.63580322265625,16.156156539916992,False,True,0,34
3072,TwoRoom,0.0,94,65,82.81510925292969,241.7608642578125,49.35825729370117,False,True,0,5
3072,TwoRoom,0.0,95,65,282.0645446777344,306.6112365722656,98.939208984375,False,True,0,29
3072,TwoRoom,0.0,96,65,339.8381652832031,259.4024658203125,69.29808044433594,False,False,0,0
3072,TwoRoom,0.0,97,65,93.09181213378906,379.79486083984375,122.37409973144531,False,True,0,62
3072,TwoRoom,0.0,98,65,84.0185546875,495.8119812011719,169.76206970214844,False,True,0,56
3072,TwoRoom,0.0,99,65,277.3604431152344,432.3304138183594,94.43006134033203,False,True,0,62
3072,TwoRoom,0.08,0,65,301.2643737792969,8.5108642578125,1.286948561668396,True,False,0,0
3072,TwoRoom,0.08,1,65,73.83747863769531,8.55950927734375,1.4018787145614624,True,False,0,0
3072,TwoRoom,0.08,2,65,155.5980987548828,6.960693359375,0.9997859001159668,True,False,0,0
3072,TwoRoom,0.08,3,65,25.754776000976562,9.13360595703125,1.36615788936615,True,False,11,11
3072,TwoRoom,0.08,4,65,9.899663925170898,32.033233642578125,7.5100555419921875,False,False,0,0
3072,TwoRoom,0.08,5,65,13.009683609008789,35.78923797607422,1.9196842908859253,False,False,29,29
3072,TwoRoom,0.08,6,65,128.82643127441406,30.35028076171875,3.54827880859375,True,False,0,0
3072,TwoRoom,0.08,7,65,29.817520141601562,34.72880554199219,7.1048102378845215,False,False,0,0
3072,TwoRoom,0.08,8,65,1.5579891204833984,13.484649658203125,2.1078853607177734,False,False,0,0
3072,TwoRoom,0.08,9,65,276.95684814453125,7.824462890625,1.168973445892334,True,False,0,0
3072,TwoRoom,0.08,10,65,89.80270385742188,18.446434020996094,2.5697712898254395,True,False,0,0
3072,TwoRoom,0.08,11,65,18.443021774291992,7.197479248046875,0.8471360206604004,True,False,0,0
3072,TwoRoom,0.08,12,65,30.754514694213867,289.4656982421875,21.273624420166016,False,False,0,0
3072,TwoRoom,0.08,13,65,212.89175415039062,100.18817138671875,3.43373703956604,True,False,0,0
3072,TwoRoom,0.08,14,65,177.9762420654297,7.05049467086792,1.1470834016799927,True,False,0,0
3072,TwoRoom,0.08,15,65,58.39853286743164,3.967559814453125,1.0058255195617676,True,False,0,0
3072,TwoRoom,0.08,16,65,10.893020629882812,13.193229675292969,1.0806570053100586,False,False,13,13
3072,TwoRoom,0.08,17,65,228.26766967773438,9.847747802734375,2.136157989501953,True,False,0,0
3072,TwoRoom,0.08,18,65,131.5810546875,4.93878173828125,1.2591911554336548,True,False,0,0
3072,TwoRoom,0.08,19,65,305.6982421875,4.68975830078125,0.9601330161094666,True,False,0,0
3072,TwoRoom,0.08,20,65,12.07972526550293,1.4273681640625,0.4751300513744354,True,False,0,0
3072,TwoRoom,0.08,21,65,229.610107421875,5.701507568359375,0.7304942011833191,True,False,0,0
3072,TwoRoom,0.08,22,65,228.25733947753906,28.445159912109375,3.881190776824951,True,False,0,0
3072,TwoRoom,0.08,23,65,46.94729232788086,13.00201416015625,2.7663016319274902,True,False,0,0
3072,TwoRoom,0.08,24,65,227.1519012451172,6.00030517578125,1.393072247505188,True,False,0,0
