task,criterion,thresholds,predicted_robust_stdmax_range,behavioral_plateau_range,false_positive_stdmax,false_negative_stdmax,notes
TwoRoom,fixed-pool cost-margin proxy gap > 0,clean_margin_q50 - 2*cost_drift_q90 > 0,0.02-0.08,0.01-0.08,none,0.01,Diagnostic validation only; proxy uses available q50/q90 fixed-pool fields and is not a checkpoint-selection algorithm.
TwoRoom,ATR+SMPR joint gate,not reported,not computed,0.01-0.08,not computed,not computed,"Full-sweep SMPR is unavailable in the recorded diagnostic summaries; endpoint SMPR appears only for stdmax 0.00 and 0.08, so the paper does not claim full-sweep ATR/SMPR gate ablation."
PushT,fixed-pool cost-margin proxy gap > 0,clean_margin_q50 - 2*cost_drift_q90 > 0,0.02-0.08,0.03-0.08,0.02,none,Diagnostic validation only; proxy uses available q50/q90 fixed-pool fields and is not a checkpoint-selection algorithm.
PushT,ATR+SMPR joint gate,not reported,not computed,0.03-0.08,not computed,not computed,"Full-sweep SMPR is unavailable in the recorded diagnostic summaries; endpoint SMPR appears only for stdmax 0.00 and 0.08, so the paper does not claim full-sweep ATR/SMPR gate ablation."
Reacher,fixed-pool cost-margin proxy gap > 0,clean_margin_q50 - 2*cost_drift_q90 > 0,0.04-0.08,0.02-0.08,none,0.02;0.03,Diagnostic validation only; proxy uses available q50/q90 fixed-pool fields and is not a checkpoint-selection algorithm.
Reacher,ATR+SMPR joint gate,not reported,not computed,0.02-0.08,not computed,not computed,"Full-sweep SMPR is unavailable in the recorded diagnostic summaries; endpoint SMPR appears only for stdmax 0.00 and 0.08, so the paper does not claim full-sweep ATR/SMPR gate ablation."
Cube,fixed-pool cost-margin proxy gap > 0,clean_margin_q50 - 2*cost_drift_q90 > 0,0.03-0.08,0.03-0.08,none,none,Diagnostic validation only; proxy uses available q50/q90 fixed-pool fields and is not a checkpoint-selection algorithm.
Cube,ATR+SMPR joint gate,not reported,not computed,0.03-0.08,not computed,not computed,"Full-sweep SMPR is unavailable in the recorded diagnostic summaries; endpoint SMPR appears only for stdmax 0.00 and 0.08, so the paper does not claim full-sweep ATR/SMPR gate ablation."
